code,type,text,weight
overall_A,intro,Astăzi este o zi în care energia ta se deschide și poți încerca orice cu încredere.,1
overall_A,intro,Astăzi este cea mai bună avere cu curenți buni care se adună din toate direcțiile.,1
overall_A,effect,"Cu cât ești mai proactiv, cu atât rezultatele vor fi mai mari și cu atât mai multă cooperare va străluci.",1
overall_A,effect,Lucrurile pe care le începeți astăzi vor duce probabil la rezultate bune mai târziu.,1
overall_A,action,"Daca nu eziti si faci primul pas, norocul de astazi te va sustine din toate puterile.",1
overall_A,action,Astăzi este cea mai bună zi pentru a începe o provocare importantă pe care ați amânat-o.,1
overall_A_geum_df_earth,intro,Astăzi este o zi în care toate averile tale sunt clare și ești în cea mai bună stare generală.,1
overall_A_geum_df_earth,effect,O creștere bruscă a norocului general produce rezultate bune în toate domeniile.,1
overall_A_geum_df_earth,action,"Dacă luați măsuri îndrăznețe astăzi, rezultatele vă vor depăși așteptările.",1
overall_A_geum_df_earth,state,"Judecata calmă crește prudența, ceea ce duce la o perspectivă profundă, iar energia calmă crește prudența, conducând la rezultate bune.",1
overall_A_geum_df_fire,intro,Astăzi este o zi în care toate averile tale sunt clare și ești în cea mai bună stare generală.,1
overall_A_geum_df_fire,effect,O creștere bruscă a norocului general produce rezultate bune în toate domeniile.,1
overall_A_geum_df_fire,action,"Dacă luați măsuri îndrăznețe astăzi, rezultatele vă vor depăși așteptările.",1
overall_A_geum_df_fire,state,"Judecata calmă crește prudența, duce la o perspectivă profundă, iar energia clară crește vitalitatea și creează un flux bun.",1
overall_A_geum_df_water,intro,Astăzi este o zi în care toate averile tale sunt clare și ești în cea mai bună stare generală.,1
overall_A_geum_df_water,effect,O creștere bruscă a norocului general produce rezultate bune în toate domeniile.,1
overall_A_geum_df_water,action,"Dacă luați măsuri îndrăznețe astăzi, rezultatele vă vor depăși așteptările.",1
overall_A_geum_df_water,state,"Judecata calmă crește prudența și duce la o perspectivă profundă, iar energia umedă rafinează profund mintea și deschide o viziune clară.",1
overall_A_geum_df_wood,intro,Astăzi este o zi în care toate averile tale sunt clare și ești în cea mai bună stare generală.,1
overall_A_geum_df_wood,effect,O creștere bruscă a norocului general produce rezultate bune în toate domeniile.,1
overall_A_geum_df_wood,action,"Dacă luați măsuri îndrăznețe astăzi, rezultatele vă vor depăși așteptările.",1
