code,type,text,weight
overall_A,intro,आज वह दिन है जब आपकी ऊर्जा खुल जाती है और आप आत्मविश्वास से कुछ भी करने की कोशिश कर सकते हैं।,1
overall_A,intro,आज सभी दिशाओं से शुभ धाराएँ एकत्रित होने से उत्तम भाग्योदय का योग है।,1
overall_A,effect,"आप जितने अधिक सक्रिय होंगे, परिणाम उतने ही बड़े होंगे और सहयोग की चमक भी उतनी ही अधिक होगी।",1
overall_A,effect,"आज आप जो काम शुरू करेंगे, उसके बाद में अच्छे परिणाम मिलने की संभावना है।",1
overall_A,action,"अगर आप झिझकें नहीं और पहला कदम उठाएं, तो आज भाग्य आपका भरपूर साथ देगा।",1
overall_A,action,आज उस महत्वपूर्ण चुनौती को शुरू करने का सबसे अच्छा दिन है जिसे आप टालते आ रहे हैं।,1
overall_A_geum_df_earth,intro,आज वह दिन है जब आपकी सारी किस्मत साफ है और आप कुल मिलाकर सबसे अच्छी स्थिति में हैं।,1
overall_A_geum_df_earth,effect,समग्र भाग्य में तेज वृद्धि सभी क्षेत्रों में अच्छे परिणाम देती है।,1
overall_A_geum_df_earth,action,"अगर आज आप साहसिक कदम उठाएंगे, तो परिणाम आपकी उम्मीदों से ज़्यादा मिलेंगे।",1
overall_A_geum_df_earth,state,"शांत निर्णय से विवेक बढ़ता है, जिससे गहरी अंतर्दृष्टि प्राप्त होती है, और शांत ऊर्जा से विवेक बढ़ता है, जिससे अच्छे परिणाम मिलते हैं।",1
overall_A_geum_df_fire,intro,आज वह दिन है जब आपकी सारी किस्मत साफ है और आप कुल मिलाकर सबसे अच्छी स्थिति में हैं।,1
overall_A_geum_df_fire,effect,समग्र भाग्य में तेज वृद्धि सभी क्षेत्रों में अच्छे परिणाम देती है।,1
overall_A_geum_df_fire,action,"अगर आज आप साहसिक कदम उठाएंगे, तो परिणाम आपकी उम्मीदों से ज़्यादा मिलेंगे।",1
overall_A_geum_df_fire,state,"शांत निर्णय विवेक को बढ़ाता है, गहरी अंतर्दृष्टि की ओर ले जाता है, और स्पष्ट ऊर्जा जीवन शक्ति को बढ़ाती है और एक अच्छा प्रवाह बनाती है।",1
overall_A_geum_df_water,intro,आज वह दिन है जब आपकी सारी किस्मत साफ है और आप कुल मिलाकर सबसे अच्छी स्थिति में हैं।,1
overall_A_geum_df_water,effect,समग्र भाग्य में तेज वृद्धि सभी क्षेत्रों में अच्छे परिणाम देती है।,1
overall_A_geum_df_water,action,"अगर आज आप साहसिक कदम उठाएंगे, तो परिणाम आपकी उम्मीदों से ज़्यादा मिलेंगे।",1
overall_A_geum_df_water,state,"शांत निर्णय विवेक को बढ़ाता है और गहरी अंतर्दृष्टि की ओर ले जाता है, और नम ऊर्जा मन को गहराई से परिष्कृत करती है और स्पष्ट दृष्टि खोलती है।",1
overall_A_geum_df_wood,intro,आज वह दिन है जब आपकी सारी किस्मत साफ है और आप कुल मिलाकर सबसे अच्छी स्थिति में हैं।,1
overall_A_geum_df_wood,effect,समग्र भाग्य में तेज वृद्धि सभी क्षेत्रों में अच्छे परिणाम देती है।,1
overall_A_geum_df_wood,action,"अगर आज आप साहसिक कदम उठाएंगे, तो परिणाम आपकी उम्मीदों से ज़्यादा मिलेंगे।",1
