code,type,text,weight
overall_A,intro,Hoje é um dia em que sua energia se abre e você pode tentar qualquer coisa com confiança.,1
overall_A,intro,Hoje é a melhor fortuna com boas correntes vindo de todas as direções.,1
overall_A,effect,"Quanto mais proativo você for, maiores serão os resultados e mais cooperação brilhará.",1
overall_A,effect,As coisas que você começa hoje provavelmente levarão a bons resultados mais tarde.,1
overall_A,action,"Se você não hesitar e der o primeiro passo, a sorte de hoje o apoiará com todas as suas forças.",1
overall_A,action,Hoje é o melhor dia para iniciar um desafio importante que você vem adiando.,1
overall_A_geum_df_earth,intro,Hoje é um dia em que toda a sua sorte está clara e você está nas melhores condições gerais.,1
overall_A_geum_df_earth,effect,Um aumento acentuado na sorte geral produz bons resultados em todas as áreas.,1
overall_A_geum_df_earth,action,"Se você tomar medidas ousadas hoje, os resultados superarão suas expectativas.",1
overall_A_geum_df_earth,state,"O julgamento calmo aumenta a prudência, levando a uma visão profunda, e a energia calma aumenta a prudência, levando a bons resultados.",1
overall_A_geum_df_fire,intro,Hoje é um dia em que toda a sua sorte está clara e você está nas melhores condições gerais.,1
overall_A_geum_df_fire,effect,Um aumento acentuado na sorte geral produz bons resultados em todas as áreas.,1
overall_A_geum_df_fire,action,"Se você tomar medidas ousadas hoje, os resultados superarão suas expectativas.",1
overall_A_geum_df_fire,state,"O julgamento calmo aumenta a prudência, leva a uma visão profunda, e a energia clara aumenta a vitalidade e cria um bom fluxo.",1
overall_A_geum_df_water,intro,Hoje é um dia em que toda a sua sorte está clara e você está nas melhores condições gerais.,1
overall_A_geum_df_water,effect,Um aumento acentuado na sorte geral produz bons resultados em todas as áreas.,1
overall_A_geum_df_water,action,"Se você tomar medidas ousadas hoje, os resultados superarão suas expectativas.",1
overall_A_geum_df_water,state,"O julgamento calmo aumenta a prudência e leva a um insight profundo, e a energia úmida refina profundamente a mente e abre uma visão clara.",1
overall_A_geum_df_wood,intro,Hoje é um dia em que toda a sua sorte está clara e você está nas melhores condições gerais.,1
overall_A_geum_df_wood,effect,Um aumento acentuado na sorte geral produz bons resultados em todas as áreas.,1
overall_A_geum_df_wood,action,"Se você tomar medidas ousadas hoje, os resultados superarão suas expectativas.",1
overall_A_geum_df_wood,state,"O julgamento calmo aumenta a prudência, leva a uma visão profunda e a energia dinâmica abre novas possibilidades.",1
overall_A_geum_ex_earth,intro,Hoje é um dia em que toda a sua sorte está clara e você está nas melhores condições gerais.,1
overall_A_geum_ex_earth,effect,Um aumento acentuado na sorte geral produz bons resultados em todas as áreas.,1
overall_A_geum_ex_earth,action,"Se você tomar medidas ousadas hoje, os resultados superarão suas expectativas.",1
overall_A_geum_ex_earth,state,"O julgamento aguçado penetra até o âmago e leva a conclusões claras, e a energia calma aumenta a prudência, levando a bons resultados.",1
overall_A_geum_ex_fire,intro,Hoje é um dia em que toda a sua sorte está clara e você está nas melhores condições gerais.,1
overall_A_geum_ex_fire,effect,Um aumento acentuado na sorte geral produz bons resultados em todas as áreas.,1
overall_A_geum_ex_fire,action,"Se você tomar medidas ousadas hoje, os resultados superarão suas expectativas.",1
overall_A_geum_ex_fire,state,"O julgamento aguçado penetra no âmago e tira conclusões claras, e a energia clara aumenta a vitalidade e cria um bom fluxo.",1
overall_A_geum_ex_water,intro,Hoje é um dia em que toda a sua sorte está clara e você está nas melhores condições gerais.,1
overall_A_geum_ex_water,effect,Um aumento acentuado na sorte geral produz bons resultados em todas as áreas.,1
overall_A_geum_ex_water,action,"Se você tomar medidas ousadas hoje, os resultados superarão suas expectativas.",1
overall_A_geum_ex_water,state,"O julgamento aguçado penetra no âmago e tira conclusões claras, e a energia úmida refina profundamente a mente e abre uma visão clara.",1
overall_A_geum_ex_wood,intro,Hoje é um dia em que toda a sua sorte está clara e você está nas melhores condições gerais.,1
overall_A_geum_ex_wood,effect,Um aumento acentuado na sorte geral produz bons resultados em todas as áreas.,1
overall_A_geum_ex_wood,action,"Se você tomar medidas ousadas hoje, os resultados superarão suas expectativas.",1
overall_A_geum_ex_wood,state,"O julgamento aguçado penetra até o âmago e tira conclusões claras, e a energia dinâmica abre novas possibilidades.",1
overall_A_hwa_df_earth,intro,É um dia claro com boas energias vindo de todas as direções.,1
overall_A_hwa_df_earth,effect,A energia em todas as direções é maximizada e tudo corre bem.,1
overall_A_hwa_df_earth,action,Experimente hoje o que você mais tem vontade de fazer.,1
overall_A_hwa_df_earth,state,"Um eu interior calmo lhe dá o poder de expressar plenamente sua sinceridade, e uma energia calma aumenta a prudência, levando a bons resultados.",1
overall_A_hwa_df_fire,intro,É um dia claro com boas energias vindo de todas as direções.,1
