code,type,text,weight
overall_A,intro,今天是你能量释放的一天，你可以自信地尝试任何事情。,1
overall_A,intro,今日大吉大利，四面八方汇聚。,1
overall_A,effect,你越积极主动，成果就越大，合作就越闪耀。,1
overall_A,effect,你今天开始的事情可能会在以后带来好的结果。,1
overall_A,action,如果你毫不犹豫地迈出第一步，今天的运气就会全力支持你。,1
overall_A,action,今天是开始一项你一直推迟的重要挑战的最佳日子。,1
overall_A_geum_df_earth,intro,今天是你所有运势都清朗的一天，整体状态处于最佳状态。,1
overall_A_geum_df_earth,effect,整体运气的急剧上升会在各个方面带来良好的结果。,1
overall_A_geum_df_earth,action,如果你今天采取大胆的行动，结果将超出你的预期。,1
overall_A_geum_df_earth,state,冷静的判断增加谨慎，导致深刻的洞察力，冷静的能量增加谨慎，导致良好的结果。,1
overall_A_geum_df_fire,intro,今天是你所有运势都清朗的一天，整体状态处于最佳状态。,1
overall_A_geum_df_fire,effect,整体运气的急剧上升会在各个方面带来良好的结果。,1
overall_A_geum_df_fire,action,如果你今天采取大胆的行动，结果将超出你的预期。,1
overall_A_geum_df_fire,state,冷静的判断会增加谨慎，导致深刻的洞察力，清晰的能量会增加活力并产生良好的流动。,1
overall_A_geum_df_water,intro,今天是你所有运势都清朗的一天，整体状态处于最佳状态。,1
overall_A_geum_df_water,effect,整体运气的急剧上升会在各个方面带来良好的结果。,1
overall_A_geum_df_water,action,如果你今天采取大胆的行动，结果将超出你的预期。,1
overall_A_geum_df_water,state,冷静的判断可以增加审慎而带来深刻的洞察力，湿润的能量可以深深地净化心灵并打开清晰的视野。,1
overall_A_geum_df_wood,intro,今天是你所有运势都清朗的一天，整体状态处于最佳状态。,1
overall_A_geum_df_wood,effect,整体运气的急剧上升会在各个方面带来良好的结果。,1
overall_A_geum_df_wood,action,如果你今天采取大胆的行动，结果将超出你的预期。,1
overall_A_geum_df_wood,state,冷静的判断增加审慎，带来深刻的洞察力，动态的能量开启新的可能性。,1
overall_A_geum_ex_earth,intro,今天是你所有运势都清朗的一天，整体状态处于最佳状态。,1
overall_A_geum_ex_earth,effect,整体运气的急剧上升会在各个方面带来良好的结果。,1
overall_A_geum_ex_earth,action,如果你今天采取大胆的行动，结果将超出你的预期。,1
overall_A_geum_ex_earth,state,敏锐的判断可以让你洞察核心并得出清晰的结论，平静的能量可以增加谨慎性，从而带来好的结果。,1
overall_A_geum_ex_fire,intro,今天是你所有运势都清朗的一天，整体状态处于最佳状态。,1
overall_A_geum_ex_fire,effect,整体运气的急剧上升会在各个方面带来良好的结果。,1
overall_A_geum_ex_fire,action,如果你今天采取大胆的行动，结果将超出你的预期。,1
overall_A_geum_ex_fire,state,敏锐的判断穿透核心，得出清晰的结论，清晰的能量增强活力，创造良好的流动。,1
overall_A_geum_ex_water,intro,今天是你所有运势都清朗的一天，整体状态处于最佳状态。,1
overall_A_geum_ex_water,effect,整体运气的急剧上升会在各个方面带来良好的结果。,1
overall_A_geum_ex_water,action,如果你今天采取大胆的行动，结果将超出你的预期。,1
overall_A_geum_ex_water,state,敏锐的判断穿透核心，得出清晰的结论，滋润的能量深入净化心灵，开启清晰的视野。,1
overall_A_geum_ex_wood,intro,今天是你所有运势都清朗的一天，整体状态处于最佳状态。,1
overall_A_geum_ex_wood,effect,整体运气的急剧上升会在各个方面带来良好的结果。,1
overall_A_geum_ex_wood,action,如果你今天采取大胆的行动，结果将超出你的预期。,1
overall_A_geum_ex_wood,state,敏锐的判断穿透核心，得出清晰的结论，动态能量开启新的可能性。,1
overall_A_hwa_df_earth,intro,这是美好的一天，良好的能量从四面八方涌来。,1
overall_A_hwa_df_earth,effect,各个方向的能量都得到最大化，一切顺利。,1
overall_A_hwa_df_earth,action,今天就尝试一下你最想做的事。,1
overall_A_hwa_df_earth,state,平静的内心让你有能力充分表达你的真诚，平静的能量增加谨慎，带来好的结果。,1
overall_A_hwa_df_fire,intro,这是美好的一天，良好的能量从四面八方涌来。,1
overall_A_hwa_df_fire,effect,各个方向的能量都得到最大化，一切顺利。,1
overall_A_hwa_df_fire,action,今天就尝试一下你最想做的事。,1
overall_A_hwa_df_fire,state,平静的内心赋予你充分表达真诚的力量，清晰的能量增强你的活力并创造良好的流动。,1
overall_A_hwa_df_water,intro,这是美好的一天，良好的能量从四面八方涌来。,1
overall_A_hwa_df_water,effect,各个方向的能量都得到最大化，一切顺利。,1
overall_A_hwa_df_water,action,今天就尝试一下你最想做的事。,1
overall_A_hwa_df_water,state,平静的内心让你有能力充分表达自己的真实感受，湿润的能量可以深度净化你的心灵，打开清晰的视野。,1
overall_A_hwa_df_wood,intro,这是美好的一天，良好的能量从四面八方涌来。,1
overall_A_hwa_df_wood,effect,各个方向的能量都得到最大化，一切顺利。,1
overall_A_hwa_df_wood,action,今天就尝试一下你最想做的事。,1
overall_A_hwa_df_wood,state,平静的内心赋予你充分表达真诚的力量，充满活力的能量开启新的可能性。,1
overall_A_hwa_ex_earth,intro,这是美好的一天，良好的能量从四面八方涌来。,1
overall_A_hwa_ex_earth,effect,各个方向的能量都得到最大化，一切顺利。,1
overall_A_hwa_ex_earth,action,今天就尝试一下你最想做的事。,1
overall_A_hwa_ex_earth,state,激情满溢，气势大增，造就良好的流动，平静的能量，增加谨慎，带来好的结果。,1
overall_A_hwa_ex_fire,intro,这是美好的一天，良好的能量从四面八方涌来。,1
overall_A_hwa_ex_fire,effect,各个方向的能量都得到最大化，一切顺利。,1
