code,type,text,weight
overall_A,intro,오늘은 기운이 크게 열려 무엇이든 자신 있게 시도할 수 있는 날입니다.,1
overall_A,intro,오늘은 사방에서 좋은 흐름이 모여드는 최상의 운세입니다.,1
overall_A,effect,주도적으로 나설수록 더 큰 결과가 따라오고 협력도 빛을 발하며.,1
overall_A,effect,오늘 시작한 일들은 이후에도 좋은 결과로 이어질 가능성이 높으며.,1
overall_A,action,망설이지 말고 첫발을 내딛으면 오늘의 대운이 힘껏 뒷받침해줄 거예요.,1
overall_A,action,평소에 미뤄온 중요한 도전을 오늘 시작하기에 가장 좋은 날이에요.,1
overall_A_geum_df_earth,intro,모든 운세가 선명하게 열려 오늘 하루 전반이 최상의 상태인 날입니다.,1
overall_A_geum_df_earth,effect,날카로운 전체 운 상승이 모든 영역에서 좋은 결과를 만들어내며.,1
overall_A_geum_df_earth,action,오늘 하루 과감하게 움직이면 기대 이상의 결과가 따릅니다.,1
overall_A_geum_df_earth,state,차분한 판단이 신중함을 더해 깊은 통찰로 이어지고 차분한 기운이 신중함을 더해 좋은 결과로 이어지니.,1
overall_A_geum_df_fire,intro,모든 운세가 선명하게 열려 오늘 하루 전반이 최상의 상태인 날입니다.,1
overall_A_geum_df_fire,effect,날카로운 전체 운 상승이 모든 영역에서 좋은 결과를 만들어내며.,1
overall_A_geum_df_fire,action,오늘 하루 과감하게 움직이면 기대 이상의 결과가 따릅니다.,1
overall_A_geum_df_fire,state,차분한 판단이 신중함을 더해 깊은 통찰로 이어지고 맑은 기운이 활력을 끌어올려 좋은 흐름을 만들어주니.,1
overall_A_geum_df_water,intro,모든 운세가 선명하게 열려 오늘 하루 전반이 최상의 상태인 날입니다.,1
overall_A_geum_df_water,effect,날카로운 전체 운 상승이 모든 영역에서 좋은 결과를 만들어내며.,1
overall_A_geum_df_water,action,오늘 하루 과감하게 움직이면 기대 이상의 결과가 따릅니다.,1
