code,type,text,weight
overall_A,intro,하루 운은 꽤 좋습니다. 평소라면 미루던 일도 오늘은 덜 밉게 보입니다.,1
overall_A,intro,하루 흐름이 좋습니다. 오늘은 일단 해보면 의외로 덜 귀찮습니다.,1
overall_A,effect,일정이 의외로 잘 풀립니다. 평소보다 손이 덜 미끄러지는 날입니다.,1
overall_A,effect,움직이면 결과가 따라옵니다. 오늘은 노력한 티가 숨지 않습니다.,1
overall_A,action,중요한 일부터 하세요. 지금 미루면 내일의 내가 또 눈으로 욕합니다.,1
overall_A,action,하나만 제대로 끝내세요. 오늘은 대충 시작해도 마무리가 꽤 봐줄 만합니다.,1
overall_A_geum_df_earth,intro,하루 운이 좋고 정리력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_geum_df_earth,effect,말이 짧아도 핵심은 잘 잡힙니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_geum_df_earth,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_geum_df_earth,state,정리력이 부족해 기준이 조금 흐립니다. 차분한 기운이 받쳐줘서 실수는 줄고 진행은 안정적입니다.,1
overall_A_geum_df_fire,intro,하루 운이 좋고 정리력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_geum_df_fire,effect,말이 짧아도 핵심은 잘 잡힙니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_geum_df_fire,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_geum_df_fire,state,정리력이 부족해 기준이 조금 흐립니다. 활력이 붙어 빠르게 움직이기 좋습니다.,1
overall_A_geum_df_water,intro,하루 운이 좋고 정리력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_geum_df_water,effect,말이 짧아도 핵심은 잘 잡힙니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_geum_df_water,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_geum_df_water,state,정리력이 부족해 기준이 조금 흐립니다. 부드러운 기운이 타이밍을 살려줍니다.,1
overall_A_geum_df_wood,intro,하루 운이 좋고 정리력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_geum_df_wood,effect,말이 짧아도 핵심은 잘 잡힙니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_geum_df_wood,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_geum_df_wood,state,정리력이 부족해 기준이 조금 흐립니다. 새 가능성이 잘 보여 움직이기 좋습니다.,1
overall_A_geum_ex_earth,intro,하루 운이 좋고 정리력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_geum_ex_earth,effect,말이 짧아도 핵심은 잘 잡힙니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_geum_ex_earth,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_geum_ex_earth,state,정리력이 과해 말과 선택이 딱딱해질 수 있습니다. 차분한 기운이 받쳐줘서 실수는 줄고 진행은 안정적입니다.,1
overall_A_geum_ex_fire,intro,하루 운이 좋고 정리력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_geum_ex_fire,effect,말이 짧아도 핵심은 잘 잡힙니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_geum_ex_fire,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_geum_ex_fire,state,정리력이 과해 말과 선택이 딱딱해질 수 있습니다. 활력이 붙어 빠르게 움직이기 좋습니다.,1
overall_A_geum_ex_water,intro,하루 운이 좋고 정리력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_geum_ex_water,effect,말이 짧아도 핵심은 잘 잡힙니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_geum_ex_water,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_geum_ex_water,state,정리력이 과해 말과 선택이 딱딱해질 수 있습니다. 부드러운 기운이 타이밍을 살려줍니다.,1
overall_A_geum_ex_wood,intro,하루 운이 좋고 정리력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_geum_ex_wood,effect,말이 짧아도 핵심은 잘 잡힙니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_geum_ex_wood,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_geum_ex_wood,state,정리력이 과해 말과 선택이 딱딱해질 수 있습니다. 새 가능성이 잘 보여 움직이기 좋습니다.,1
overall_A_hwa_df_earth,intro,하루 운이 좋고 추진력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_hwa_df_earth,effect,시작은 빠른데 브레이크도 같이 챙겨야 합니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_hwa_df_earth,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_hwa_df_earth,state,추진력이 약해 시작까지 시간이 걸립니다. 차분한 기운이 받쳐줘서 실수는 줄고 진행은 안정적입니다.,1
overall_A_hwa_df_fire,intro,하루 운이 좋고 추진력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_hwa_df_fire,effect,시작은 빠른데 브레이크도 같이 챙겨야 합니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_hwa_df_fire,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_hwa_df_fire,state,추진력이 약해 시작까지 시간이 걸립니다. 활력이 붙어 빠르게 움직이기 좋습니다.,1
overall_A_hwa_df_water,intro,하루 운이 좋고 추진력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_hwa_df_water,effect,시작은 빠른데 브레이크도 같이 챙겨야 합니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_hwa_df_water,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_hwa_df_water,state,추진력이 약해 시작까지 시간이 걸립니다. 부드러운 기운이 타이밍을 살려줍니다.,1
overall_A_hwa_df_wood,intro,하루 운이 좋고 추진력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_hwa_df_wood,effect,시작은 빠른데 브레이크도 같이 챙겨야 합니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_hwa_df_wood,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_hwa_df_wood,state,추진력이 약해 시작까지 시간이 걸립니다. 새 가능성이 잘 보여 움직이기 좋습니다.,1
overall_A_hwa_ex_earth,intro,하루 운이 좋고 추진력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_hwa_ex_earth,effect,시작은 빠른데 브레이크도 같이 챙겨야 합니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_hwa_ex_earth,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_hwa_ex_earth,state,추진력이 강해 속도가 판단보다 앞설 수 있습니다. 차분한 기운이 받쳐줘서 실수는 줄고 진행은 안정적입니다.,1
overall_A_hwa_ex_fire,intro,하루 운이 좋고 추진력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_hwa_ex_fire,effect,시작은 빠른데 브레이크도 같이 챙겨야 합니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_hwa_ex_fire,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_hwa_ex_fire,state,추진력이 강해 속도가 판단보다 앞설 수 있습니다. 활력이 붙어 빠르게 움직이기 좋습니다.,1
overall_A_hwa_ex_water,intro,하루 운이 좋고 추진력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_hwa_ex_water,effect,시작은 빠른데 브레이크도 같이 챙겨야 합니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_hwa_ex_water,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_hwa_ex_water,state,추진력이 강해 속도가 판단보다 앞설 수 있습니다. 부드러운 기운이 타이밍을 살려줍니다.,1
overall_A_hwa_ex_wood,intro,하루 운이 좋고 추진력도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_hwa_ex_wood,effect,시작은 빠른데 브레이크도 같이 챙겨야 합니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_hwa_ex_wood,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_hwa_ex_wood,state,추진력이 강해 속도가 판단보다 앞설 수 있습니다. 새 가능성이 잘 보여 움직이기 좋습니다.,1
overall_A_mok_df_earth,intro,하루 운이 좋고 확장성도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_mok_df_earth,effect,새 방법이 보이지만 가지를 너무 벌리면 손이 모자랍니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_mok_df_earth,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_mok_df_earth,state,확장 기운이 약해 새 시도가 부담스럽게 느껴집니다. 차분한 기운이 받쳐줘서 실수는 줄고 진행은 안정적입니다.,1
overall_A_mok_df_fire,intro,하루 운이 좋고 확장성도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_mok_df_fire,effect,새 방법이 보이지만 가지를 너무 벌리면 손이 모자랍니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_mok_df_fire,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_mok_df_fire,state,확장 기운이 약해 새 시도가 부담스럽게 느껴집니다. 활력이 붙어 빠르게 움직이기 좋습니다.,1
overall_A_mok_df_water,intro,하루 운이 좋고 확장성도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_mok_df_water,effect,새 방법이 보이지만 가지를 너무 벌리면 손이 모자랍니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_mok_df_water,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_mok_df_water,state,확장 기운이 약해 새 시도가 부담스럽게 느껴집니다. 부드러운 기운이 타이밍을 살려줍니다.,1
overall_A_mok_df_wood,intro,하루 운이 좋고 확장성도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_mok_df_wood,effect,새 방법이 보이지만 가지를 너무 벌리면 손이 모자랍니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_mok_df_wood,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_mok_df_wood,state,확장 기운이 약해 새 시도가 부담스럽게 느껴집니다. 새 가능성이 잘 보여 움직이기 좋습니다.,1
overall_A_mok_ex_earth,intro,하루 운이 좋고 확장성도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_mok_ex_earth,effect,새 방법이 보이지만 가지를 너무 벌리면 손이 모자랍니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_mok_ex_earth,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_mok_ex_earth,state,확장 기운이 강해 일을 너무 많이 벌릴 수 있습니다. 차분한 기운이 받쳐줘서 실수는 줄고 진행은 안정적입니다.,1
overall_A_mok_ex_fire,intro,하루 운이 좋고 확장성도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_mok_ex_fire,effect,새 방법이 보이지만 가지를 너무 벌리면 손이 모자랍니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_mok_ex_fire,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_mok_ex_fire,state,확장 기운이 강해 일을 너무 많이 벌릴 수 있습니다. 활력이 붙어 빠르게 움직이기 좋습니다.,1
overall_A_mok_ex_water,intro,하루 운이 좋고 확장성도 잘 살아납니다. 오늘은 평소보다 덜 헤매도 됩니다.,1
overall_A_mok_ex_water,effect,새 방법이 보이지만 가지를 너무 벌리면 손이 모자랍니다. 일정도 의외로 순하게 따라옵니다.,1
overall_A_mok_ex_water,action,일정에서 중요한 것 하나를 먼저 처리하세요. 오늘 미루면 아깝습니다.,1
overall_A_mok_ex_water,state,확장 기운이 강해 일을 너무 많이 벌릴 수 있습니다. 부드러운 기운이 타이밍을 살려줍니다.,1
