code,type,text,weight
overall_A,intro,"분석 결과, 종합운은 매우 좋은 구간입니다.",1
overall_A,intro,데이터 기준으로 하루 전체 신호가 강하게 올라와 있습니다.,1
overall_A,effect,오늘 하루는 원하는 쪽으로 움직일 가능성이 높습니다.,1
overall_A,effect,예측값이 좋고 리스크 변동폭도 낮은 편입니다.,1
overall_A,action,중요한 일정부터 처리하세요. 오늘은 우선순위를 앞당겨도 좋습니다.,1
overall_A,action,미뤄둔 일을 하나 시작하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_geum_df_earth,intro,"분석 결과, 종합운은 판단 기준이 강점으로 잡힙니다.",1
overall_A_geum_df_earth,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 기준이 선명해서 판단 오차가 낮습니다.,1
overall_A_geum_df_earth,action,미뤄둔 일을 하나 시작하세요. 오늘은 우선순위를 앞당겨도 좋습니다.,1
overall_A_geum_df_earth,state,판단 기준이 낮아도 보정 가능한 수준입니다. 환경 신호가 안정적으로 작동합니다.,1
overall_A_geum_df_fire,intro,"분석 결과, 종합운은 판단 기준이 강점으로 잡힙니다.",1
overall_A_geum_df_fire,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 기준이 선명해서 판단 오차가 낮습니다.,1
overall_A_geum_df_fire,action,미뤄둔 일을 하나 시작하세요. 오늘은 우선순위를 앞당겨도 좋습니다.,1
overall_A_geum_df_fire,state,판단 기준이 낮아도 보정 가능한 수준입니다. 환경 신호가 실행력을 보태고 있습니다.,1
overall_A_geum_df_water,intro,"분석 결과, 종합운은 판단 기준이 강점으로 잡힙니다.",1
overall_A_geum_df_water,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 기준이 선명해서 판단 오차가 낮습니다.,1
overall_A_geum_df_water,action,미뤄둔 일을 하나 시작하세요. 오늘은 우선순위를 앞당겨도 좋습니다.,1
overall_A_geum_df_water,state,판단 기준이 낮아도 보정 가능한 수준입니다. 환경 신호가 타이밍을 맞춰줍니다.,1
overall_A_geum_df_wood,intro,"분석 결과, 종합운은 판단 기준이 강점으로 잡힙니다.",1
overall_A_geum_df_wood,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 기준이 선명해서 판단 오차가 낮습니다.,1
overall_A_geum_df_wood,action,미뤄둔 일을 하나 시작하세요. 오늘은 우선순위를 앞당겨도 좋습니다.,1
overall_A_geum_df_wood,state,판단 기준이 낮아도 보정 가능한 수준입니다. 환경 신호가 가능성을 넓혀줍니다.,1
overall_A_geum_ex_earth,intro,"분석 결과, 종합운은 판단 기준이 강점으로 잡힙니다.",1
overall_A_geum_ex_earth,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 기준이 선명해서 판단 오차가 낮습니다.,1
overall_A_geum_ex_earth,action,미뤄둔 일을 하나 시작하세요. 오늘은 우선순위를 앞당겨도 좋습니다.,1
overall_A_geum_ex_earth,state,판단 기준이 강하게 작동해 예측값을 높입니다. 환경 신호가 안정적으로 작동합니다.,1
overall_A_geum_ex_fire,intro,"분석 결과, 종합운은 판단 기준이 강점으로 잡힙니다.",1
overall_A_geum_ex_fire,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 기준이 선명해서 판단 오차가 낮습니다.,1
overall_A_geum_ex_fire,action,미뤄둔 일을 하나 시작하세요. 오늘은 우선순위를 앞당겨도 좋습니다.,1
overall_A_geum_ex_fire,state,판단 기준이 강하게 작동해 예측값을 높입니다. 환경 신호가 실행력을 보태고 있습니다.,1
overall_A_geum_ex_water,intro,"분석 결과, 종합운은 판단 기준이 강점으로 잡힙니다.",1
overall_A_geum_ex_water,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 기준이 선명해서 판단 오차가 낮습니다.,1
overall_A_geum_ex_water,action,미뤄둔 일을 하나 시작하세요. 오늘은 우선순위를 앞당겨도 좋습니다.,1
overall_A_geum_ex_water,state,판단 기준이 강하게 작동해 예측값을 높입니다. 환경 신호가 타이밍을 맞춰줍니다.,1
overall_A_geum_ex_wood,intro,"분석 결과, 종합운은 판단 기준이 강점으로 잡힙니다.",1
overall_A_geum_ex_wood,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 기준이 선명해서 판단 오차가 낮습니다.,1
overall_A_geum_ex_wood,action,미뤄둔 일을 하나 시작하세요. 오늘은 우선순위를 앞당겨도 좋습니다.,1
overall_A_geum_ex_wood,state,판단 기준이 강하게 작동해 예측값을 높입니다. 환경 신호가 가능성을 넓혀줍니다.,1
overall_A_hwa_df_earth,intro,"분석 결과, 종합운은 실행 에너지가 강점으로 잡힙니다.",1
overall_A_hwa_df_earth,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 실행 에너지가 충분해 움직임이 빠릅니다.,1
overall_A_hwa_df_earth,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_hwa_df_earth,state,실행 에너지가 낮아도 보정 가능한 수준입니다. 환경 신호가 안정적으로 작동합니다.,1
overall_A_hwa_df_fire,intro,"분석 결과, 종합운은 실행 에너지가 강점으로 잡힙니다.",1
overall_A_hwa_df_fire,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 실행 에너지가 충분해 움직임이 빠릅니다.,1
overall_A_hwa_df_fire,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_hwa_df_fire,state,실행 에너지가 낮아도 보정 가능한 수준입니다. 환경 신호가 실행력을 보태고 있습니다.,1
overall_A_hwa_df_water,intro,"분석 결과, 종합운은 실행 에너지가 강점으로 잡힙니다.",1
overall_A_hwa_df_water,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 실행 에너지가 충분해 움직임이 빠릅니다.,1
overall_A_hwa_df_water,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_hwa_df_water,state,실행 에너지가 낮아도 보정 가능한 수준입니다. 환경 신호가 타이밍을 맞춰줍니다.,1
overall_A_hwa_df_wood,intro,"분석 결과, 종합운은 실행 에너지가 강점으로 잡힙니다.",1
overall_A_hwa_df_wood,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 실행 에너지가 충분해 움직임이 빠릅니다.,1
overall_A_hwa_df_wood,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_hwa_df_wood,state,실행 에너지가 낮아도 보정 가능한 수준입니다. 환경 신호가 가능성을 넓혀줍니다.,1
overall_A_hwa_ex_earth,intro,"분석 결과, 종합운은 실행 에너지가 강점으로 잡힙니다.",1
overall_A_hwa_ex_earth,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 실행 에너지가 충분해 움직임이 빠릅니다.,1
overall_A_hwa_ex_earth,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_hwa_ex_earth,state,실행 에너지가 강하게 작동해 예측값을 높입니다. 환경 신호가 안정적으로 작동합니다.,1
overall_A_hwa_ex_fire,intro,"분석 결과, 종합운은 실행 에너지가 강점으로 잡힙니다.",1
overall_A_hwa_ex_fire,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 실행 에너지가 충분해 움직임이 빠릅니다.,1
overall_A_hwa_ex_fire,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_hwa_ex_fire,state,실행 에너지가 강하게 작동해 예측값을 높입니다. 환경 신호가 실행력을 보태고 있습니다.,1
overall_A_hwa_ex_water,intro,"분석 결과, 종합운은 실행 에너지가 강점으로 잡힙니다.",1
overall_A_hwa_ex_water,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 실행 에너지가 충분해 움직임이 빠릅니다.,1
overall_A_hwa_ex_water,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_hwa_ex_water,state,실행 에너지가 강하게 작동해 예측값을 높입니다. 환경 신호가 타이밍을 맞춰줍니다.,1
overall_A_hwa_ex_wood,intro,"분석 결과, 종합운은 실행 에너지가 강점으로 잡힙니다.",1
overall_A_hwa_ex_wood,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 실행 에너지가 충분해 움직임이 빠릅니다.,1
overall_A_hwa_ex_wood,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_hwa_ex_wood,state,실행 에너지가 강하게 작동해 예측값을 높입니다. 환경 신호가 가능성을 넓혀줍니다.,1
overall_A_mok_df_earth,intro,"분석 결과, 종합운은 확장 가능성이 강점으로 잡힙니다.",1
overall_A_mok_df_earth,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 새 선택지를 찾는 능력이 좋습니다.,1
overall_A_mok_df_earth,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_mok_df_earth,state,확장 가능성이 낮아도 보정 가능한 수준입니다. 환경 신호가 안정적으로 작동합니다.,1
overall_A_mok_df_fire,intro,"분석 결과, 종합운은 확장 가능성이 강점으로 잡힙니다.",1
overall_A_mok_df_fire,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 새 선택지를 찾는 능력이 좋습니다.,1
overall_A_mok_df_fire,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_mok_df_fire,state,확장 가능성이 낮아도 보정 가능한 수준입니다. 환경 신호가 실행력을 보태고 있습니다.,1
overall_A_mok_df_water,intro,"분석 결과, 종합운은 확장 가능성이 강점으로 잡힙니다.",1
overall_A_mok_df_water,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 새 선택지를 찾는 능력이 좋습니다.,1
overall_A_mok_df_water,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_mok_df_water,state,확장 가능성이 낮아도 보정 가능한 수준입니다. 환경 신호가 타이밍을 맞춰줍니다.,1
overall_A_mok_df_wood,intro,"분석 결과, 종합운은 확장 가능성이 강점으로 잡힙니다.",1
overall_A_mok_df_wood,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 새 선택지를 찾는 능력이 좋습니다.,1
overall_A_mok_df_wood,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_mok_df_wood,state,확장 가능성이 낮아도 보정 가능한 수준입니다. 환경 신호가 가능성을 넓혀줍니다.,1
overall_A_mok_ex_earth,intro,"분석 결과, 종합운은 확장 가능성이 강점으로 잡힙니다.",1
overall_A_mok_ex_earth,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 새 선택지를 찾는 능력이 좋습니다.,1
overall_A_mok_ex_earth,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_mok_ex_earth,state,확장 가능성이 강하게 작동해 예측값을 높입니다. 환경 신호가 안정적으로 작동합니다.,1
overall_A_mok_ex_fire,intro,"분석 결과, 종합운은 확장 가능성이 강점으로 잡힙니다.",1
overall_A_mok_ex_fire,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 새 선택지를 찾는 능력이 좋습니다.,1
overall_A_mok_ex_fire,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_mok_ex_fire,state,확장 가능성이 강하게 작동해 예측값을 높입니다. 환경 신호가 실행력을 보태고 있습니다.,1
overall_A_mok_ex_water,intro,"분석 결과, 종합운은 확장 가능성이 강점으로 잡힙니다.",1
overall_A_mok_ex_water,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 새 선택지를 찾는 능력이 좋습니다.,1
overall_A_mok_ex_water,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_mok_ex_water,state,확장 가능성이 강하게 작동해 예측값을 높입니다. 환경 신호가 타이밍을 맞춰줍니다.,1
overall_A_mok_ex_wood,intro,"분석 결과, 종합운은 확장 가능성이 강점으로 잡힙니다.",1
overall_A_mok_ex_wood,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 새 선택지를 찾는 능력이 좋습니다.,1
overall_A_mok_ex_wood,action,중요한 일정부터 처리하세요. 검토한 일은 실행해도 괜찮습니다.,1
overall_A_mok_ex_wood,state,확장 가능성이 강하게 작동해 예측값을 높입니다. 환경 신호가 가능성을 넓혀줍니다.,1
overall_A_su_df_earth,intro,"분석 결과, 종합운은 타이밍 감지가 강점으로 잡힙니다.",1
overall_A_su_df_earth,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 타이밍을 읽는 감도가 좋습니다.,1
overall_A_su_df_earth,action,미뤄둔 일을 하나 시작하세요. 오늘은 우선순위를 앞당겨도 좋습니다.,1
overall_A_su_df_earth,state,타이밍 감지가 낮아도 보정 가능한 수준입니다. 환경 신호가 안정적으로 작동합니다.,1
overall_A_su_df_fire,intro,"분석 결과, 종합운은 타이밍 감지가 강점으로 잡힙니다.",1
overall_A_su_df_fire,effect,오늘 하루는 좋은 쪽으로 움직일 수 있습니다. 타이밍을 읽는 감도가 좋습니다.,1
overall_A_su_df_fire,action,미뤄둔 일을 하나 시작하세요. 오늘은 우선순위를 앞당겨도 좋습니다.,1
