code,type,text,weight
overall_A,intro,"Heute ist ein Tag, an dem sich Ihre Energie öffnet und Sie selbstbewusst alles ausprobieren können.",1
overall_A,intro,"Heute ist das beste Glück mit guten Strömungen, die aus allen Richtungen zusammenströmen.",1
overall_A,effect,"Je proaktiver Sie sind, desto größer werden die Ergebnisse sein und desto mehr wird die Zusammenarbeit glänzen.",1
overall_A,effect,"Dinge, die Sie heute beginnen, werden später wahrscheinlich zu guten Ergebnissen führen.",1
overall_A,action,"Wenn Sie nicht zögern und den ersten Schritt wagen, wird Sie das heutige Glück mit aller Kraft unterstützen.",1
overall_A,action,"Heute ist der beste Tag, um eine wichtige Herausforderung zu beginnen, die Sie aufgeschoben haben.",1
overall_A_geum_df_earth,intro,"Heute ist ein Tag, an dem alle Ihre Schicksale klar sind und Sie sich insgesamt in der besten Verfassung befinden.",1
overall_A_geum_df_earth,effect,Ein starker Anstieg des Gesamtglücks führt in allen Bereichen zu guten Ergebnissen.,1
overall_A_geum_df_earth,action,"Wenn Sie heute mutig handeln, werden die Ergebnisse Ihre Erwartungen übertreffen.",1
overall_A_geum_df_earth,state,"Ein ruhiges Urteilsvermögen steigert die Besonnenheit und führt zu tiefer Einsicht, und ruhige Energie steigert die Besonnenheit und führt zu guten Ergebnissen.",1
overall_A_geum_df_fire,intro,"Heute ist ein Tag, an dem alle Ihre Schicksale klar sind und Sie sich insgesamt in der besten Verfassung befinden.",1
overall_A_geum_df_fire,effect,Ein starker Anstieg des Gesamtglücks führt in allen Bereichen zu guten Ergebnissen.,1
overall_A_geum_df_fire,action,"Wenn Sie heute mutig handeln, werden die Ergebnisse Ihre Erwartungen übertreffen.",1
overall_A_geum_df_fire,state,"Ein ruhiges Urteilsvermögen erhöht die Besonnenheit, führt zu tiefer Einsicht und klare Energie erhöht die Vitalität und sorgt für einen guten Fluss.",1
overall_A_geum_df_water,intro,"Heute ist ein Tag, an dem alle Ihre Schicksale klar sind und Sie sich insgesamt in der besten Verfassung befinden.",1
overall_A_geum_df_water,effect,Ein starker Anstieg des Gesamtglücks führt in allen Bereichen zu guten Ergebnissen.,1
overall_A_geum_df_water,action,"Wenn Sie heute mutig handeln, werden die Ergebnisse Ihre Erwartungen übertreffen.",1
overall_A_geum_df_water,state,"Ein ruhiges Urteilsvermögen erhöht die Besonnenheit und führt zu tiefer Einsicht, und feuchte Energie verfeinert den Geist tiefgreifend und öffnet eine klare Sicht.",1
overall_A_geum_df_wood,intro,"Heute ist ein Tag, an dem alle Ihre Schicksale klar sind und Sie sich insgesamt in der besten Verfassung befinden.",1
overall_A_geum_df_wood,effect,Ein starker Anstieg des Gesamtglücks führt in allen Bereichen zu guten Ergebnissen.,1
overall_A_geum_df_wood,action,"Wenn Sie heute mutig handeln, werden die Ergebnisse Ihre Erwartungen übertreffen.",1
overall_A_geum_df_wood,state,"Ruhiges Urteilsvermögen erhöht die Besonnenheit, führt zu tiefer Einsicht und dynamische Energie eröffnet neue Möglichkeiten.",1
overall_A_geum_ex_earth,intro,"Heute ist ein Tag, an dem alle Ihre Schicksale klar sind und Sie sich insgesamt in der besten Verfassung befinden.",1
overall_A_geum_ex_earth,effect,Ein starker Anstieg des Gesamtglücks führt in allen Bereichen zu guten Ergebnissen.,1
overall_A_geum_ex_earth,action,"Wenn Sie heute mutig handeln, werden die Ergebnisse Ihre Erwartungen übertreffen.",1
overall_A_geum_ex_earth,state,"Scharfes Urteilsvermögen dringt bis ins Mark vor und führt zu klaren Schlussfolgerungen, und ruhige Energie erhöht die Besonnenheit, was zu guten Ergebnissen führt.",1
overall_A_geum_ex_fire,intro,"Heute ist ein Tag, an dem alle Ihre Schicksale klar sind und Sie sich insgesamt in der besten Verfassung befinden.",1
overall_A_geum_ex_fire,effect,Ein starker Anstieg des Gesamtglücks führt in allen Bereichen zu guten Ergebnissen.,1
overall_A_geum_ex_fire,action,"Wenn Sie heute mutig handeln, werden die Ergebnisse Ihre Erwartungen übertreffen.",1
overall_A_geum_ex_fire,state,"Scharfes Urteilsvermögen dringt ins Innerste ein und zieht klare Schlussfolgerungen, und klare Energie steigert die Vitalität und sorgt für einen guten Fluss.",1
overall_A_geum_ex_water,intro,"Heute ist ein Tag, an dem alle Ihre Schicksale klar sind und Sie sich insgesamt in der besten Verfassung befinden.",1
overall_A_geum_ex_water,effect,Ein starker Anstieg des Gesamtglücks führt in allen Bereichen zu guten Ergebnissen.,1
overall_A_geum_ex_water,action,"Wenn Sie heute mutig handeln, werden die Ergebnisse Ihre Erwartungen übertreffen.",1
overall_A_geum_ex_water,state,"Ein scharfes Urteilsvermögen dringt bis ins Innerste vor und zieht klare Schlussfolgerungen, und feuchte Energie verfeinert den Geist tiefgreifend und eröffnet eine klare Sicht.",1
overall_A_geum_ex_wood,intro,"Heute ist ein Tag, an dem alle Ihre Schicksale klar sind und Sie sich insgesamt in der besten Verfassung befinden.",1
overall_A_geum_ex_wood,effect,Ein starker Anstieg des Gesamtglücks führt in allen Bereichen zu guten Ergebnissen.,1
overall_A_geum_ex_wood,action,"Wenn Sie heute mutig handeln, werden die Ergebnisse Ihre Erwartungen übertreffen.",1
overall_A_geum_ex_wood,state,"Scharfes Urteilsvermögen dringt zum Kern vor und zieht klare Schlussfolgerungen, und dynamische Energie eröffnet neue Möglichkeiten.",1
overall_A_hwa_df_earth,intro,Es ist ein strahlender Tag mit guter Energie aus allen Richtungen.,1
overall_A_hwa_df_earth,effect,Die Energie in alle Richtungen wird maximiert und alles läuft gut.,1
overall_A_hwa_df_earth,action,"Probieren Sie noch heute aus, was Sie schon immer tun wollten.",1
overall_A_hwa_df_earth,state,"Ein ruhiges inneres Selbst gibt Ihnen die Kraft, Ihre Aufrichtigkeit voll zum Ausdruck zu bringen, und eine ruhige Energie steigert die Besonnenheit und führt zu guten Ergebnissen.",1
overall_A_hwa_df_fire,intro,Es ist ein strahlender Tag mit guter Energie aus allen Richtungen.,1
overall_A_hwa_df_fire,effect,Die Energie in alle Richtungen wird maximiert und alles läuft gut.,1
overall_A_hwa_df_fire,action,"Probieren Sie noch heute aus, was Sie schon immer tun wollten.",1
overall_A_hwa_df_fire,state,"Ein ruhiges inneres Selbst gibt Ihnen die Kraft, Ihre Aufrichtigkeit voll zum Ausdruck zu bringen, und klare Energie steigert Ihre Vitalität und sorgt für einen guten Fluss.",1
overall_A_hwa_df_water,intro,Es ist ein strahlender Tag mit guter Energie aus allen Richtungen.,1
overall_A_hwa_df_water,effect,Die Energie in alle Richtungen wird maximiert und alles läuft gut.,1
overall_A_hwa_df_water,action,"Probieren Sie noch heute aus, was Sie schon immer tun wollten.",1
overall_A_hwa_df_water,state,"Ein ruhiges inneres Selbst gibt Ihnen die Kraft, Ihre wahren Gefühle voll zum Ausdruck zu bringen, und feuchte Energie verfeinert Ihren Geist tiefgreifend und öffnet eine klare Sicht.",1
overall_A_hwa_df_wood,intro,Es ist ein strahlender Tag mit guter Energie aus allen Richtungen.,1
overall_A_hwa_df_wood,effect,Die Energie in alle Richtungen wird maximiert und alles läuft gut.,1
overall_A_hwa_df_wood,action,"Probieren Sie noch heute aus, was Sie schon immer tun wollten.",1
overall_A_hwa_df_wood,state,"Ein ruhiges inneres Selbst gibt Ihnen die Kraft, Ihre Aufrichtigkeit voll zum Ausdruck zu bringen, und dynamische Energie eröffnet neue Möglichkeiten.",1
overall_A_hwa_ex_earth,intro,Es ist ein strahlender Tag mit guter Energie aus allen Richtungen.,1
overall_A_hwa_ex_earth,effect,Die Energie in alle Richtungen wird maximiert und alles läuft gut.,1
overall_A_hwa_ex_earth,action,"Probieren Sie noch heute aus, was Sie schon immer tun wollten.",1
overall_A_hwa_ex_earth,state,"Überströmende Leidenschaft erhöht den Schwung enorm und sorgt für einen guten Fluss, und ruhige Energie erhöht die Besonnenheit, was zu guten Ergebnissen führt.",1
overall_A_hwa_ex_fire,intro,Es ist ein strahlender Tag mit guter Energie aus allen Richtungen.,1
overall_A_hwa_ex_fire,effect,Die Energie in alle Richtungen wird maximiert und alles läuft gut.,1
overall_A_hwa_ex_fire,action,"Probieren Sie noch heute aus, was Sie schon immer tun wollten.",1
