code,type,text,weight
overall_A,intro,종합운이 좋소. 오늘은 물러서기보다 나설 때요.,1
overall_A,intro,하루 기운은 맑게 열려 있소. 뜻을 세워도 좋겠소.,1
overall_A,effect,오늘 하루는 좋은 쪽으로 풀릴 가능성이 크오.,1
overall_A,effect,움직이면 결과가 따를 기운이 있소.,1
overall_A,action,미뤄둔 일 하나를 시작하시오. 오늘은 과감히 움직이시오.,1
overall_A,action,중요한 일정부터 정리하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_geum_df_earth,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_A_geum_df_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_A_geum_df_earth,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_geum_df_earth,state,분별이 조금 흐려도 오늘은 바로잡을 수 있소. 차분한 기운도 길을 돕소.,1
overall_A_geum_df_fire,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_A_geum_df_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_A_geum_df_fire,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_geum_df_fire,state,분별이 조금 흐려도 오늘은 바로잡을 수 있소. 밝은 기운이 힘을 보태오.,1
overall_A_geum_df_water,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_A_geum_df_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_A_geum_df_water,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_geum_df_water,state,분별이 조금 흐려도 오늘은 바로잡을 수 있소. 물기운도 때를 맞추오.,1
overall_A_geum_df_wood,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_A_geum_df_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_A_geum_df_wood,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_geum_df_wood,state,분별이 조금 흐려도 오늘은 바로잡을 수 있소. 변화도 좋은 쪽으로 움직이오.,1
overall_A_geum_ex_earth,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_A_geum_ex_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_A_geum_ex_earth,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_geum_ex_earth,state,분별이 강하게 살아 길을 돕소. 차분한 기운도 길을 돕소.,1
overall_A_geum_ex_fire,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_A_geum_ex_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_A_geum_ex_fire,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_geum_ex_fire,state,분별이 강하게 살아 길을 돕소. 밝은 기운이 힘을 보태오.,1
