code,type,text,weight
overall_A,intro,Hôm nay là ngày mà năng lượng của bạn được khai mở và bạn có thể tự tin thử bất cứ điều gì.,1
overall_A,intro,"Hôm nay là ngày may mắn nhất, với những dòng chảy tốt lành hội tụ từ mọi hướng.",1
overall_A,effect,Bạn càng chủ động thì kết quả sẽ càng lớn và sự hợp tác sẽ càng tỏa sáng.,1
overall_A,effect,Những điều bạn bắt đầu ngày hôm nay có khả năng dẫn đến kết quả tốt sau này.,1
overall_A,action,"Nếu bạn thực hiện bước đầu tiên mà không do dự, vận may hôm nay sẽ hỗ trợ bạn bằng tất cả sức lực của mình.",1
overall_A,action,Hôm nay là ngày tốt nhất để bắt đầu một thử thách quan trọng mà bạn đang trì hoãn.,1
overall_A_geum_df_earth,intro,Hôm nay là một ngày mà mọi vận may của bạn đều rõ ràng và nhìn chung bạn đang ở trong trạng thái tốt nhất.,1
overall_A_geum_df_earth,effect,Sự may mắn tổng thể tăng mạnh tạo ra kết quả tốt trong mọi lĩnh vực.,1
overall_A_geum_df_earth,action,"Nếu bạn hành động táo bạo ngay hôm nay, kết quả sẽ vượt quá sự mong đợi của bạn.",1
overall_A_geum_df_earth,state,"Bình tĩnh phán đoán làm tăng trí tuệ, dẫn đến tuệ giác sâu sắc, và năng lượng bình tĩnh làm tăng trí tuệ, dẫn đến kết quả tốt.",1
overall_A_geum_df_fire,intro,Hôm nay là một ngày mà mọi vận may của bạn đều rõ ràng và nhìn chung bạn đang ở trong trạng thái tốt nhất.,1
overall_A_geum_df_fire,effect,Sự may mắn tổng thể tăng mạnh tạo ra kết quả tốt trong mọi lĩnh vực.,1
overall_A_geum_df_fire,action,"Nếu bạn hành động táo bạo ngay hôm nay, kết quả sẽ vượt quá sự mong đợi của bạn.",1
overall_A_geum_df_fire,state,"Sự phán đoán bình tĩnh làm tăng sự khôn ngoan, dẫn đến cái nhìn sâu sắc, nguồn năng lượng sáng rõ làm tăng sức sống và tạo ra một dòng chảy tốt.",1
overall_A_geum_df_water,intro,Hôm nay là một ngày mà mọi vận may của bạn đều rõ ràng và nhìn chung bạn đang ở trong trạng thái tốt nhất.,1
overall_A_geum_df_water,effect,Sự may mắn tổng thể tăng mạnh tạo ra kết quả tốt trong mọi lĩnh vực.,1
overall_A_geum_df_water,action,"Nếu bạn hành động táo bạo ngay hôm nay, kết quả sẽ vượt quá sự mong đợi của bạn.",1
