code,type,text,weight
overall_A,intro,Hoy es un día en el que tu energía se abre y puedes probar cualquier cosa con confianza.,1
overall_A,intro,Hoy es la mejor fortuna con buenas corrientes que se acumulan desde todas direcciones.,1
overall_A,effect,"Cuanto más proactivo seas, mayores serán los resultados y más brillará la cooperación.",1
overall_A,effect,Es probable que las cosas que empiece hoy le den buenos resultados en el futuro.,1
overall_A,action,"Si no lo dudes y das el primer paso, la suerte de hoy te apoyará con todas tus fuerzas.",1
overall_A,action,Hoy es el mejor día para iniciar un desafío importante que venías postergando.,1
overall_A_geum_df_earth,intro,Hoy es un día en el que todas tus fortunas están claras y en general te encuentras en las mejores condiciones.,1
overall_A_geum_df_earth,effect,Un fuerte aumento de la suerte general produce buenos resultados en todos los ámbitos.,1
overall_A_geum_df_earth,action,"Si toma medidas audaces hoy, los resultados superarán sus expectativas.",1
overall_A_geum_df_earth,state,"El juicio sereno aumenta la prudencia, lo que conduce a una percepción profunda, y la energía tranquila aumenta la prudencia, lo que conduce a buenos resultados.",1
overall_A_geum_df_fire,intro,Hoy es un día en el que todas tus fortunas están claras y en general te encuentras en las mejores condiciones.,1
overall_A_geum_df_fire,effect,Un fuerte aumento de la suerte general produce buenos resultados en todos los ámbitos.,1
overall_A_geum_df_fire,action,"Si toma medidas audaces hoy, los resultados superarán sus expectativas.",1
overall_A_geum_df_fire,state,"El juicio tranquilo aumenta la prudencia, conduce a una visión profunda y la energía clara aumenta la vitalidad y crea un buen flujo.",1
overall_A_geum_df_water,intro,Hoy es un día en el que todas tus fortunas están claras y en general te encuentras en las mejores condiciones.,1
overall_A_geum_df_water,effect,Un fuerte aumento de la suerte general produce buenos resultados en todos los ámbitos.,1
overall_A_geum_df_water,action,"Si toma medidas audaces hoy, los resultados superarán sus expectativas.",1
overall_A_geum_df_water,state,"El juicio tranquilo aumenta la prudencia y conduce a una visión profunda, y la energía húmeda refina profundamente la mente y abre una visión clara.",1
overall_A_geum_df_wood,intro,Hoy es un día en el que todas tus fortunas están claras y en general te encuentras en las mejores condiciones.,1
overall_A_geum_df_wood,effect,Un fuerte aumento de la suerte general produce buenos resultados en todos los ámbitos.,1
overall_A_geum_df_wood,action,"Si toma medidas audaces hoy, los resultados superarán sus expectativas.",1
overall_A_geum_df_wood,state,"El juicio sereno aumenta la prudencia, conduce a una visión profunda y la energía dinámica abre nuevas posibilidades.",1
overall_A_geum_ex_earth,intro,Hoy es un día en el que todas tus fortunas están claras y en general te encuentras en las mejores condiciones.,1
overall_A_geum_ex_earth,effect,Un fuerte aumento de la suerte general produce buenos resultados en todos los ámbitos.,1
overall_A_geum_ex_earth,action,"Si toma medidas audaces hoy, los resultados superarán sus expectativas.",1
overall_A_geum_ex_earth,state,"El juicio agudo penetra hasta lo más profundo y conduce a conclusiones claras, y la energía tranquila aumenta la prudencia y conduce a buenos resultados.",1
overall_A_geum_ex_fire,intro,Hoy es un día en el que todas tus fortunas están claras y en general te encuentras en las mejores condiciones.,1
overall_A_geum_ex_fire,effect,Un fuerte aumento de la suerte general produce buenos resultados en todos los ámbitos.,1
overall_A_geum_ex_fire,action,"Si toma medidas audaces hoy, los resultados superarán sus expectativas.",1
overall_A_geum_ex_fire,state,"El juicio agudo penetra el núcleo y saca conclusiones claras, y la energía clara aumenta la vitalidad y crea un buen flujo.",1
overall_A_geum_ex_water,intro,Hoy es un día en el que todas tus fortunas están claras y en general te encuentras en las mejores condiciones.,1
overall_A_geum_ex_water,effect,Un fuerte aumento de la suerte general produce buenos resultados en todos los ámbitos.,1
overall_A_geum_ex_water,action,"Si toma medidas audaces hoy, los resultados superarán sus expectativas.",1
overall_A_geum_ex_water,state,"El juicio agudo penetra el núcleo y saca conclusiones claras, y la energía húmeda refina profundamente la mente y abre una visión clara.",1
overall_A_geum_ex_wood,intro,Hoy es un día en el que todas tus fortunas están claras y en general te encuentras en las mejores condiciones.,1
overall_A_geum_ex_wood,effect,Un fuerte aumento de la suerte general produce buenos resultados en todos los ámbitos.,1
overall_A_geum_ex_wood,action,"Si toma medidas audaces hoy, los resultados superarán sus expectativas.",1
overall_A_geum_ex_wood,state,"El juicio agudo penetra hasta lo más profundo y saca conclusiones claras, y la energía dinámica abre nuevas posibilidades.",1
overall_A_hwa_df_earth,intro,Es un día luminoso con buena energía llegando de todas direcciones.,1
overall_A_hwa_df_earth,effect,Se maximiza la energía en todas direcciones y todo va bien.,1
overall_A_hwa_df_earth,action,Prueba hoy lo que más deseas hacer.,1
overall_A_hwa_df_earth,state,"Un yo interior tranquilo te da el poder de expresar plenamente tu sinceridad, y una energía tranquila aumenta la prudencia, lo que conduce a buenos resultados.",1
overall_A_hwa_df_fire,intro,Es un día luminoso con buena energía llegando de todas direcciones.,1
overall_A_hwa_df_fire,effect,Se maximiza la energía en todas direcciones y todo va bien.,1
overall_A_hwa_df_fire,action,Prueba hoy lo que más deseas hacer.,1
overall_A_hwa_df_fire,state,"Un yo interior tranquilo te da el poder de expresar plenamente tu sinceridad, y la energía clara aumenta tu vitalidad y crea un buen flujo.",1
overall_A_hwa_df_water,intro,Es un día luminoso con buena energía llegando de todas direcciones.,1
overall_A_hwa_df_water,effect,Se maximiza la energía en todas direcciones y todo va bien.,1
overall_A_hwa_df_water,action,Prueba hoy lo que más deseas hacer.,1
overall_A_hwa_df_water,state,"Un yo interior tranquilo te da el poder de expresar plenamente tus verdaderos sentimientos, y la energía húmeda refina profundamente tu mente y abre una visión clara.",1
overall_A_hwa_df_wood,intro,Es un día luminoso con buena energía llegando de todas direcciones.,1
overall_A_hwa_df_wood,effect,Se maximiza la energía en todas direcciones y todo va bien.,1
overall_A_hwa_df_wood,action,Prueba hoy lo que más deseas hacer.,1
overall_A_hwa_df_wood,state,Un yo interior tranquilo te da el poder de expresar plenamente tu sinceridad y la energía dinámica abre nuevas posibilidades.,1
overall_A_hwa_ex_earth,intro,Es un día luminoso con buena energía llegando de todas direcciones.,1
overall_A_hwa_ex_earth,effect,Se maximiza la energía en todas direcciones y todo va bien.,1
overall_A_hwa_ex_earth,action,Prueba hoy lo que más deseas hacer.,1
overall_A_hwa_ex_earth,state,"La pasión desbordante aumenta enormemente el impulso y crea un buen flujo, y la energía tranquila aumenta la prudencia, lo que conduce a buenos resultados.",1
overall_A_hwa_ex_fire,intro,Es un día luminoso con buena energía llegando de todas direcciones.,1
overall_A_hwa_ex_fire,effect,Se maximiza la energía en todas direcciones y todo va bien.,1
overall_A_hwa_ex_fire,action,Prueba hoy lo que más deseas hacer.,1
overall_A_hwa_ex_fire,state,"La pasión desbordante aumenta enormemente la fuerza motriz y crea un buen flujo, y la energía clara aumenta la vitalidad y crea un buen flujo.",1
overall_A_hwa_ex_water,intro,Es un día luminoso con buena energía llegando de todas direcciones.,1
overall_A_hwa_ex_water,effect,Se maximiza la energía en todas direcciones y todo va bien.,1
overall_A_hwa_ex_water,action,Prueba hoy lo que más deseas hacer.,1
overall_A_hwa_ex_water,state,"La pasión desbordante aumenta enormemente la fuerza motriz y crea un buen flujo, y la energía húmeda refina profundamente la mente y abre una visión clara.",1
overall_A_hwa_ex_wood,intro,Es un día luminoso con buena energía llegando de todas direcciones.,1
overall_A_hwa_ex_wood,effect,Se maximiza la energía en todas direcciones y todo va bien.,1
overall_A_hwa_ex_wood,action,Prueba hoy lo que más deseas hacer.,1
overall_A_hwa_ex_wood,state,"La pasión desbordante aumenta enormemente la fuerza motriz, creando un buen flujo y la energía dinámica abre nuevas posibilidades.",1
overall_A_mok_df_earth,intro,Este es un día en el que el horóscopo general está lleno de energía de crecimiento y oportunidades de desarrollo.,1
overall_A_mok_df_earth,effect,La energía de crecimiento integral crea oportunidades en todos los campos.,1
overall_A_mok_df_earth,action,"Si asume activamente nuevos desafíos, obtendrá buenos resultados.",1
overall_A_mok_df_earth,state,"En realidad, un enfoque cauteloso crea un comienzo sólido, y una energía tranquila aumenta la prudencia, lo que conduce a buenos resultados.",1
overall_A_mok_df_fire,intro,Este es un día en el que el horóscopo general está lleno de energía de crecimiento y oportunidades de desarrollo.,1
overall_A_mok_df_fire,effect,La energía de crecimiento integral crea oportunidades en todos los campos.,1
overall_A_mok_df_fire,action,"Si asume activamente nuevos desafíos, obtendrá buenos resultados.",1
overall_A_mok_df_fire,state,"En realidad, un enfoque cauteloso crea un comienzo sólido, y la energía clara aumenta la vitalidad y crea un buen flujo.",1
overall_A_mok_df_water,intro,Este es un día en el que el horóscopo general está lleno de energía de crecimiento y oportunidades de desarrollo.,1
overall_A_mok_df_water,effect,La energía de crecimiento integral crea oportunidades en todos los campos.,1
overall_A_mok_df_water,action,"Si asume activamente nuevos desafíos, obtendrá buenos resultados.",1
overall_A_mok_df_water,state,"En realidad, un enfoque cauteloso crea un comienzo sólido, y la energía húmeda refina profundamente la mente y abre una visión clara.",1
overall_A_mok_df_wood,intro,Este es un día en el que el horóscopo general está lleno de energía de crecimiento y oportunidades de desarrollo.,1
overall_A_mok_df_wood,effect,La energía de crecimiento integral crea oportunidades en todos los campos.,1
overall_A_mok_df_wood,action,"Si asume activamente nuevos desafíos, obtendrá buenos resultados.",1
overall_A_mok_df_wood,state,Un enfoque cauteloso crea un comienzo sólido y la energía dinámica abre nuevas posibilidades.,1
