code,type,text,weight
overall_A,intro,"종합운은 꽤 좋다. 이런 날은 드물다, 써먹는 편이 낫다.",1
overall_A,intro,하루 흐름은 평소보다 덜 삐걱거린다. 이 정도면 쓸 만하다.,1
overall_A,effect,오늘 하루에서 기대보다 나은 결과가 나온다. 인생이 바뀌진 않아도 도움은 된다.,1
overall_A,effect,손해 볼 확률은 낮다. 오늘은 드물게 조건이 편을 든다.,1
overall_A,action,미뤄둔 일 하나는 오늘 처리해라. 좋을 때 처리하는 게 덜 귀찮다.,1
overall_A,action,중요한 일정부터 정리해라. 미뤄도 결국 다시 돌아온다.,1
overall_A_geum_df_earth,intro,종합운은 정리력이 버텨줘서 생각보다 괜찮다. 큰 의미까진 필요 없다.,1
overall_A_geum_df_earth,effect,오늘 하루는 예상보다 덜 꼬인다. 기준이 선명해서 쓸데없는 고민은 덜하다.,1
overall_A_geum_df_earth,action,중요한 일정부터 정리해라. 좋을 때 처리하는 게 덜 귀찮다.,1
overall_A_geum_df_earth,state,정리력이 약해 기준이 조금 흐리다. 차분한 기운이 속도를 낮춘다. 그래도 오늘은 버틸 여지가 있다.,1
overall_A_geum_df_fire,intro,종합운은 정리력이 버텨줘서 생각보다 괜찮다. 큰 의미까진 필요 없다.,1
overall_A_geum_df_fire,effect,오늘 하루는 예상보다 덜 꼬인다. 기준이 선명해서 쓸데없는 고민은 덜하다.,1
overall_A_geum_df_fire,action,중요한 일정부터 정리해라. 좋을 때 처리하는 게 덜 귀찮다.,1
overall_A_geum_df_fire,state,정리력이 약해 기준이 조금 흐리다. 열기가 올라 판단보다 말이 앞설 수 있다. 그래도 오늘은 버틸 여지가 있다.,1
overall_A_geum_df_water,intro,종합운은 정리력이 버텨줘서 생각보다 괜찮다. 큰 의미까진 필요 없다.,1
overall_A_geum_df_water,effect,오늘 하루는 예상보다 덜 꼬인다. 기준이 선명해서 쓸데없는 고민은 덜하다.,1
overall_A_geum_df_water,action,중요한 일정부터 정리해라. 좋을 때 처리하는 게 덜 귀찮다.,1
overall_A_geum_df_water,state,정리력이 약해 기준이 조금 흐리다. 흐름이 늘어져 결론이 늦을 수 있다. 그래도 오늘은 버틸 여지가 있다.,1
overall_A_geum_df_wood,intro,종합운은 정리력이 버텨줘서 생각보다 괜찮다. 큰 의미까진 필요 없다.,1
overall_A_geum_df_wood,effect,오늘 하루는 예상보다 덜 꼬인다. 기준이 선명해서 쓸데없는 고민은 덜하다.,1
overall_A_geum_df_wood,action,중요한 일정부터 정리해라. 좋을 때 처리하는 게 덜 귀찮다.,1
overall_A_geum_df_wood,state,정리력이 약해 기준이 조금 흐리다. 변화가 많아 일이 쉽게 퍼질 수 있다. 그래도 오늘은 버틸 여지가 있다.,1
overall_A_geum_ex_earth,intro,종합운은 정리력이 버텨줘서 생각보다 괜찮다. 큰 의미까진 필요 없다.,1
overall_A_geum_ex_earth,effect,오늘 하루는 예상보다 덜 꼬인다. 기준이 선명해서 쓸데없는 고민은 덜하다.,1
overall_A_geum_ex_earth,action,중요한 일정부터 정리해라. 좋을 때 처리하는 게 덜 귀찮다.,1
overall_A_geum_ex_earth,state,정리력이 과해 말과 선택이 딱딱해질 수 있다. 차분한 기운이 속도를 낮춘다. 그래도 오늘은 버틸 여지가 있다.,1
overall_A_geum_ex_fire,intro,종합운은 정리력이 버텨줘서 생각보다 괜찮다. 큰 의미까진 필요 없다.,1
overall_A_geum_ex_fire,effect,오늘 하루는 예상보다 덜 꼬인다. 기준이 선명해서 쓸데없는 고민은 덜하다.,1
overall_A_geum_ex_fire,action,중요한 일정부터 정리해라. 좋을 때 처리하는 게 덜 귀찮다.,1
