code,type,text,weight
overall_A,intro,Aujourd’hui est un jour où votre énergie s’ouvre et où vous pouvez tout essayer en toute confiance.,1
overall_A,intro,"Aujourd’hui, c’est la meilleure fortune avec de bons courants venant de toutes les directions.",1
overall_A,effect,"Plus vous serez proactif, plus les résultats seront importants et plus la coopération brillera.",1
overall_A,effect,Les choses que vous commencez aujourd’hui donneront probablement de bons résultats plus tard.,1
overall_A,action,"Si vous n'hésitez pas et faites le premier pas, la chance d'aujourd'hui vous soutiendra de toutes vos forces.",1
overall_A,action,Aujourd’hui est le meilleur jour pour commencer un défi important que vous avez reporté.,1
overall_A_geum_df_earth,intro,Aujourd’hui est un jour où toute votre fortune est claire et où vous êtes globalement dans la meilleure condition.,1
overall_A_geum_df_earth,effect,Une forte augmentation de la chance globale produit de bons résultats dans tous les domaines.,1
overall_A_geum_df_earth,action,"Si vous prenez des mesures audacieuses aujourd’hui, les résultats dépasseront vos attentes.",1
overall_A_geum_df_earth,state,"Un jugement calme augmente la prudence, conduisant à une vision profonde, et une énergie calme augmente la prudence, conduisant à de bons résultats.",1
overall_A_geum_df_fire,intro,Aujourd’hui est un jour où toute votre fortune est claire et où vous êtes globalement dans la meilleure condition.,1
overall_A_geum_df_fire,effect,Une forte augmentation de la chance globale produit de bons résultats dans tous les domaines.,1
overall_A_geum_df_fire,action,"Si vous prenez des mesures audacieuses aujourd’hui, les résultats dépasseront vos attentes.",1
overall_A_geum_df_fire,state,"Un jugement calme augmente la prudence, conduit à une vision profonde, et une énergie claire augmente la vitalité et crée un bon flux.",1
overall_A_geum_df_water,intro,Aujourd’hui est un jour où toute votre fortune est claire et où vous êtes globalement dans la meilleure condition.,1
overall_A_geum_df_water,effect,Une forte augmentation de la chance globale produit de bons résultats dans tous les domaines.,1
overall_A_geum_df_water,action,"Si vous prenez des mesures audacieuses aujourd’hui, les résultats dépasseront vos attentes.",1
overall_A_geum_df_water,state,"Un jugement calme augmente la prudence et conduit à une vision profonde, tandis qu'une énergie humide affine profondément l'esprit et ouvre une vision claire.",1
overall_A_geum_df_wood,intro,Aujourd’hui est un jour où toute votre fortune est claire et où vous êtes globalement dans la meilleure condition.,1
overall_A_geum_df_wood,effect,Une forte augmentation de la chance globale produit de bons résultats dans tous les domaines.,1
overall_A_geum_df_wood,action,"Si vous prenez des mesures audacieuses aujourd’hui, les résultats dépasseront vos attentes.",1
overall_A_geum_df_wood,state,"Un jugement calme augmente la prudence, conduit à une vision profonde et une énergie dynamique ouvre de nouvelles possibilités.",1
overall_A_geum_ex_earth,intro,Aujourd’hui est un jour où toute votre fortune est claire et où vous êtes globalement dans la meilleure condition.,1
overall_A_geum_ex_earth,effect,Une forte augmentation de la chance globale produit de bons résultats dans tous les domaines.,1
overall_A_geum_ex_earth,action,"Si vous prenez des mesures audacieuses aujourd’hui, les résultats dépasseront vos attentes.",1
overall_A_geum_ex_earth,state,"Un jugement pointu pénètre jusqu'au cœur et conduit à des conclusions claires, et une énergie calme augmente la prudence, conduisant à de bons résultats.",1
overall_A_geum_ex_fire,intro,Aujourd’hui est un jour où toute votre fortune est claire et où vous êtes globalement dans la meilleure condition.,1
overall_A_geum_ex_fire,effect,Une forte augmentation de la chance globale produit de bons résultats dans tous les domaines.,1
