code,type,text,weight
overall_A,intro,종합운은 좋아. 이런 날까지 망설이면 좀 아깝지.,1
overall_A,intro,하루 흐름은 꽤 잘 살아 있어. 오늘은 믿어도 되겠네.,1
overall_A,effect,오늘 하루는 원하는 쪽으로 잘 풀릴 가능성이 높아.,1
overall_A,effect,움직이면 결과가 따라올 것 같아. 이번엔 꽤 괜찮네.,1
overall_A,action,미뤄둔 일 하나는 해. 이번엔 자신 있게 해도 돼.,1
overall_A,action,"중요한 일정부터 정리해. 좋을 때 움직여, 괜히 아끼지 말고.",1
overall_A_geum_df_earth,intro,종합운은 판단이 잘 살아 있어. 이번엔 믿어봐.,1
overall_A_geum_df_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있어. 기준이 보여서 덜 헤매겠네.,1
overall_A_geum_df_earth,action,중요한 일정부터 정리해. 이번엔 자신 있게 해도 돼.,1
overall_A_geum_df_earth,state,판단이 조금 흔들려도 오늘은 금방 잡을 수 있어. 차분한 기운도 받쳐줘.,1
overall_A_geum_df_fire,intro,종합운은 판단이 잘 살아 있어. 이번엔 믿어봐.,1
overall_A_geum_df_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있어. 기준이 보여서 덜 헤매겠네.,1
overall_A_geum_df_fire,action,중요한 일정부터 정리해. 이번엔 자신 있게 해도 돼.,1
overall_A_geum_df_fire,state,판단이 조금 흔들려도 오늘은 금방 잡을 수 있어. 밝은 기운이 힘을 보태.,1
overall_A_geum_df_water,intro,종합운은 판단이 잘 살아 있어. 이번엔 믿어봐.,1
overall_A_geum_df_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있어. 기준이 보여서 덜 헤매겠네.,1
overall_A_geum_df_water,action,중요한 일정부터 정리해. 이번엔 자신 있게 해도 돼.,1
overall_A_geum_df_water,state,판단이 조금 흔들려도 오늘은 금방 잡을 수 있어. 감정 흐름도 나쁘지 않아.,1
overall_A_geum_df_wood,intro,종합운은 판단이 잘 살아 있어. 이번엔 믿어봐.,1
overall_A_geum_df_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있어. 기준이 보여서 덜 헤매겠네.,1
overall_A_geum_df_wood,action,중요한 일정부터 정리해. 이번엔 자신 있게 해도 돼.,1
overall_A_geum_df_wood,state,판단이 조금 흔들려도 오늘은 금방 잡을 수 있어. 변화도 좋은 쪽으로 움직여.,1
overall_A_geum_ex_earth,intro,종합운은 판단이 잘 살아 있어. 이번엔 믿어봐.,1
overall_A_geum_ex_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있어. 기준이 보여서 덜 헤매겠네.,1
overall_A_geum_ex_earth,action,중요한 일정부터 정리해. 이번엔 자신 있게 해도 돼.,1
overall_A_geum_ex_earth,state,판단이 강하게 살아 있어. 잘 쓰면 꽤 도움 돼. 차분한 기운도 받쳐줘.,1
overall_A_geum_ex_fire,intro,종합운은 판단이 잘 살아 있어. 이번엔 믿어봐.,1
overall_A_geum_ex_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있어. 기준이 보여서 덜 헤매겠네.,1
overall_A_geum_ex_fire,action,중요한 일정부터 정리해. 이번엔 자신 있게 해도 돼.,1
overall_A_geum_ex_fire,state,판단이 강하게 살아 있어. 잘 쓰면 꽤 도움 돼. 밝은 기운이 힘을 보태.,1
overall_A_geum_ex_water,intro,종합운은 판단이 잘 살아 있어. 이번엔 믿어봐.,1
overall_A_geum_ex_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있어. 기준이 보여서 덜 헤매겠네.,1
overall_A_geum_ex_water,action,중요한 일정부터 정리해. 이번엔 자신 있게 해도 돼.,1
overall_A_geum_ex_water,state,판단이 강하게 살아 있어. 잘 쓰면 꽤 도움 돼. 감정 흐름도 나쁘지 않아.,1
overall_A_geum_ex_wood,intro,종합운은 판단이 잘 살아 있어. 이번엔 믿어봐.,1
overall_A_geum_ex_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있어. 기준이 보여서 덜 헤매겠네.,1
overall_A_geum_ex_wood,action,중요한 일정부터 정리해. 이번엔 자신 있게 해도 돼.,1
overall_A_geum_ex_wood,state,판단이 강하게 살아 있어. 잘 쓰면 꽤 도움 돼. 변화도 좋은 쪽으로 움직여.,1
overall_A_hwa_df_earth,intro,종합운은 활력이 잘 살아 있어. 이번엔 믿어봐.,1
overall_A_hwa_df_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있어. 움직일 힘은 있어 보여.,1
overall_A_hwa_df_earth,action,"미뤄둔 일 하나는 해. 좋을 때 움직여, 괜히 아끼지 말고.",1
overall_A_hwa_df_earth,state,활력이 조금 흔들려도 오늘은 금방 잡을 수 있어. 차분한 기운도 받쳐줘.,1
overall_A_hwa_df_fire,intro,종합운은 활력이 잘 살아 있어. 이번엔 믿어봐.,1
overall_A_hwa_df_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있어. 움직일 힘은 있어 보여.,1
overall_A_hwa_df_fire,action,"미뤄둔 일 하나는 해. 좋을 때 움직여, 괜히 아끼지 말고.",1
overall_A_hwa_df_fire,state,활력이 조금 흔들려도 오늘은 금방 잡을 수 있어. 밝은 기운이 힘을 보태.,1
overall_A_hwa_df_water,intro,종합운은 활력이 잘 살아 있어. 이번엔 믿어봐.,1
overall_A_hwa_df_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있어. 움직일 힘은 있어 보여.,1
overall_A_hwa_df_water,action,"미뤄둔 일 하나는 해. 좋을 때 움직여, 괜히 아끼지 말고.",1
