code,type,text,weight
overall_A,intro,Today is a day where your energy opens up and you can confidently try anything.,1
overall_A,intro,Today is the best fortune with good currents gathering from all directions.,1
overall_A,effect,"The more proactive you are, the bigger the results will be and the more cooperation will shine.",1
overall_A,effect,Things you start today are likely to lead to good results later on.,1
overall_A,action,"If you don't hesitate and take the first step, today's luck will support you with all your might.",1
overall_A,action,Today is the best day to start an important challenge that you have been putting off.,1
overall_A_geum_df_earth,intro,Today is a day when all your fortunes are clear and you are in the best condition overall.,1
overall_A_geum_df_earth,effect,A sharp rise in overall luck produces good results in all areas.,1
overall_A_geum_df_earth,action,"If you take bold action today, the results will exceed your expectations.",1
overall_A_geum_df_earth,state,"Calm judgment increases prudence, leading to deep insight, and calm energy increases prudence, leading to good results.",1
overall_A_geum_df_fire,intro,Today is a day when all your fortunes are clear and you are in the best condition overall.,1
overall_A_geum_df_fire,effect,A sharp rise in overall luck produces good results in all areas.,1
overall_A_geum_df_fire,action,"If you take bold action today, the results will exceed your expectations.",1
overall_A_geum_df_fire,state,"Calm judgment increases prudence, leads to deep insight, and clear energy increases vitality and creates a good flow.",1
overall_A_geum_df_water,intro,Today is a day when all your fortunes are clear and you are in the best condition overall.,1
overall_A_geum_df_water,effect,A sharp rise in overall luck produces good results in all areas.,1
overall_A_geum_df_water,action,"If you take bold action today, the results will exceed your expectations.",1
overall_A_geum_df_water,state,"Calm judgment increases prudence and leads to deep insight, and moist energy deeply refines the mind and opens clear vision.",1
overall_A_geum_df_wood,intro,Today is a day when all your fortunes are clear and you are in the best condition overall.,1
overall_A_geum_df_wood,effect,A sharp rise in overall luck produces good results in all areas.,1
overall_A_geum_df_wood,action,"If you take bold action today, the results will exceed your expectations.",1
overall_A_geum_df_wood,state,"Calm judgment increases prudence, leads to deep insight, and dynamic energy opens up new possibilities.",1
overall_A_geum_ex_earth,intro,Today is a day when all your fortunes are clear and you are in the best condition overall.,1
overall_A_geum_ex_earth,effect,A sharp rise in overall luck produces good results in all areas.,1
overall_A_geum_ex_earth,action,"If you take bold action today, the results will exceed your expectations.",1
overall_A_geum_ex_earth,state,"Sharp judgment penetrates to the core and leads to clear conclusions, and calm energy increases prudence, leading to good results.",1
overall_A_geum_ex_fire,intro,Today is a day when all your fortunes are clear and you are in the best condition overall.,1
overall_A_geum_ex_fire,effect,A sharp rise in overall luck produces good results in all areas.,1
overall_A_geum_ex_fire,action,"If you take bold action today, the results will exceed your expectations.",1
overall_A_geum_ex_fire,state,"Sharp judgment penetrates the core and draws clear conclusions, and clear energy boosts vitality and creates a good flow.",1
overall_A_geum_ex_water,intro,Today is a day when all your fortunes are clear and you are in the best condition overall.,1
overall_A_geum_ex_water,effect,A sharp rise in overall luck produces good results in all areas.,1
overall_A_geum_ex_water,action,"If you take bold action today, the results will exceed your expectations.",1
overall_A_geum_ex_water,state,"Sharp judgment penetrates the core and draws clear conclusions, and moist energy deeply refines the mind and opens clear vision.",1
overall_A_geum_ex_wood,intro,Today is a day when all your fortunes are clear and you are in the best condition overall.,1
overall_A_geum_ex_wood,effect,A sharp rise in overall luck produces good results in all areas.,1
overall_A_geum_ex_wood,action,"If you take bold action today, the results will exceed your expectations.",1
overall_A_geum_ex_wood,state,"Sharp judgment penetrates to the core and draws clear conclusions, and dynamic energy opens up new possibilities.",1
overall_A_hwa_df_earth,intro,It is a bright day with good energy coming from all directions.,1
overall_A_hwa_df_earth,effect,Energy in all directions is maximized and everything goes well.,1
overall_A_hwa_df_earth,action,Try today what you've been wanting to do the most.,1
overall_A_hwa_df_earth,state,"A calm inner self gives you the power to fully express your sincerity, and a calm energy increases prudence, leading to good results.",1
overall_A_hwa_df_fire,intro,It is a bright day with good energy coming from all directions.,1
overall_A_hwa_df_fire,effect,Energy in all directions is maximized and everything goes well.,1
overall_A_hwa_df_fire,action,Try today what you've been wanting to do the most.,1
overall_A_hwa_df_fire,state,"A calm inner self gives you the power to fully express your sincerity, and clear energy boosts your vitality and creates a good flow.",1
overall_A_hwa_df_water,intro,It is a bright day with good energy coming from all directions.,1
overall_A_hwa_df_water,effect,Energy in all directions is maximized and everything goes well.,1
overall_A_hwa_df_water,action,Try today what you've been wanting to do the most.,1
overall_A_hwa_df_water,state,"A calm inner self gives you the power to fully express your true feelings, and moist energy deeply refines your mind and opens up clear vision.",1
overall_A_hwa_df_wood,intro,It is a bright day with good energy coming from all directions.,1
overall_A_hwa_df_wood,effect,Energy in all directions is maximized and everything goes well.,1
overall_A_hwa_df_wood,action,Try today what you've been wanting to do the most.,1
overall_A_hwa_df_wood,state,"A calm inner self gives you the power to fully express your sincerity, and dynamic energy opens up new possibilities.",1
overall_A_hwa_ex_earth,intro,It is a bright day with good energy coming from all directions.,1
overall_A_hwa_ex_earth,effect,Energy in all directions is maximized and everything goes well.,1
overall_A_hwa_ex_earth,action,Try today what you've been wanting to do the most.,1
overall_A_hwa_ex_earth,state,"Overflowing passion greatly increases momentum and creates a good flow, and calm energy increases prudence, leading to good results.",1
overall_A_hwa_ex_fire,intro,It is a bright day with good energy coming from all directions.,1
overall_A_hwa_ex_fire,effect,Energy in all directions is maximized and everything goes well.,1
overall_A_hwa_ex_fire,action,Try today what you've been wanting to do the most.,1
overall_A_hwa_ex_fire,state,"Overflowing passion greatly increases driving force and creates a good flow, and clear energy increases vitality and creates a good flow.",1
overall_A_hwa_ex_water,intro,It is a bright day with good energy coming from all directions.,1
overall_A_hwa_ex_water,effect,Energy in all directions is maximized and everything goes well.,1
overall_A_hwa_ex_water,action,Try today what you've been wanting to do the most.,1
overall_A_hwa_ex_water,state,"The overflowing passion greatly increases the driving force and creates a good flow, and the moist energy deeply refines the mind and opens clear vision.",1
overall_A_hwa_ex_wood,intro,It is a bright day with good energy coming from all directions.,1
overall_A_hwa_ex_wood,effect,Energy in all directions is maximized and everything goes well.,1
overall_A_hwa_ex_wood,action,Try today what you've been wanting to do the most.,1
overall_A_hwa_ex_wood,state,"Overflowing passion greatly increases driving force, creating a good flow, and dynamic energy opens up new possibilities.",1
overall_A_mok_df_earth,intro,This is a day when the overall horoscope is filled with growth energy and opportunities for development.,1
overall_A_mok_df_earth,effect,All-round growth energy creates opportunities in all fields.,1
overall_A_mok_df_earth,action,"If you actively take on new challenges, good results will follow.",1
overall_A_mok_df_earth,state,"A cautious approach actually creates a solid start, and a calm energy increases prudence, leading to good results.",1
overall_A_mok_df_fire,intro,This is a day when the overall horoscope is filled with growth energy and opportunities for development.,1
overall_A_mok_df_fire,effect,All-round growth energy creates opportunities in all fields.,1
overall_A_mok_df_fire,action,"If you actively take on new challenges, good results will follow.",1
overall_A_mok_df_fire,state,"A cautious approach actually creates a solid start, and clear energy boosts vitality and creates a good flow.",1
overall_A_mok_df_water,intro,This is a day when the overall horoscope is filled with growth energy and opportunities for development.,1
overall_A_mok_df_water,effect,All-round growth energy creates opportunities in all fields.,1
overall_A_mok_df_water,action,"If you actively take on new challenges, good results will follow.",1
overall_A_mok_df_water,state,"A cautious approach actually creates a solid start, and moist energy deeply refines the mind and opens clear vision.",1
overall_A_mok_df_wood,intro,This is a day when the overall horoscope is filled with growth energy and opportunities for development.,1
overall_A_mok_df_wood,effect,All-round growth energy creates opportunities in all fields.,1
overall_A_mok_df_wood,action,"If you actively take on new challenges, good results will follow.",1
overall_A_mok_df_wood,state,"A cautious approach creates a solid start, and dynamic energy opens up new possibilities.",1
overall_A_mok_ex_earth,intro,This is a day when the overall horoscope is filled with growth energy and opportunities for development.,1
overall_A_mok_ex_earth,effect,All-round growth energy creates opportunities in all fields.,1
overall_A_mok_ex_earth,action,"If you actively take on new challenges, good results will follow.",1
overall_A_mok_ex_earth,state,"A strong will actively opens up new opportunities, and a calm energy increases prudence, leading to good results.",1
overall_A_mok_ex_fire,intro,This is a day when the overall horoscope is filled with growth energy and opportunities for development.,1
overall_A_mok_ex_fire,effect,All-round growth energy creates opportunities in all fields.,1
overall_A_mok_ex_fire,action,"If you actively take on new challenges, good results will follow.",1
overall_A_mok_ex_fire,state,"A strong will actively opens up new opportunities, and clear energy increases vitality and creates a good flow.",1
