code,type,text,weight
overall_A,intro,今日はオーラが大きく開いて何でも自信を持って試せる日です。,1
overall_A,intro,今日はどこでも良い流れが集まる最高の占いです。,1
overall_A,effect,主導的に出るほど、より大きな結果が続き、協力も光を放ちます。,1
overall_A,effect,今日始まったことは、その後も良い結果につながる可能性が高く。,1
overall_A,action,躊躇しないで最初の足を踏み出すと、今日の大運が力強く支えてくれるでしょう。,1
overall_A,action,普段から延期された重要な挑戦を今日始めるのに最適な日です。,1
overall_A_geum_df_earth,intro,すべての占いが鮮明に開かれ、今日の一日全体が最高の状態である日です。,1
overall_A_geum_df_earth,effect,鋭い全体の運の上昇は、すべての分野で良い結果を生み出します。,1
overall_A_geum_df_earth,action,今日一日大胆に動くと期待以上の結果に従います。,1
overall_A_geum_df_earth,state,落ち着いた判断が慎重さを加え深い洞察につながり、落ち着いたオーラが慎重さを加えて良い結果につながる。,1
overall_A_geum_df_fire,intro,すべての占いが鮮明に開かれ、今日の一日全体が最高の状態である日です。,1
overall_A_geum_df_fire,effect,鋭い全体の運の上昇は、すべての分野で良い結果を生み出します。,1
overall_A_geum_df_fire,action,今日一日大胆に動くと期待以上の結果に従います。,1
overall_A_geum_df_fire,state,落ち着いた判断が慎重さを加え、深い洞察につながり、澄んだオーラが活力を引き上げて良い流れを作ってくれる。,1
overall_A_geum_df_water,intro,すべての占いが鮮明に開かれ、今日の一日全体が最高の状態である日です。,1
overall_A_geum_df_water,effect,鋭い全体の運の上昇は、すべての分野で良い結果を生み出します。,1
overall_A_geum_df_water,action,今日一日大胆に動くと期待以上の結果に従います。,1
overall_A_geum_df_water,state,落ち着いた判断が慎重さを加え、深い洞察につながり、しっとりとしたオーラが心を深く整え、明瞭な視界を開いてくれる。,1
overall_A_geum_df_wood,intro,すべての占いが鮮明に開かれ、今日の一日全体が最高の状態である日です。,1
overall_A_geum_df_wood,effect,鋭い全体の運の上昇は、すべての分野で良い結果を生み出します。,1
overall_A_geum_df_wood,action,今日一日大胆に動くと期待以上の結果に従います。,1
overall_A_geum_df_wood,state,落ち着いた判断が慎重さを加え、深い洞察につながり、ダイナミックなオーラが新しい可能性を大きく開いてくれる。,1
overall_A_geum_ex_earth,intro,すべての占いが鮮明に開かれ、今日の一日全体が最高の状態である日です。,1
